fare_band,rows,actual_mean,mae,rmse,mean_error
$0–30,67851,19.75584324475689,4.1130002159030195,5.548557754858981,2.7961643206718376
$30–60,23594,39.81482877002628,6.986295394054076,10.550693309412482,-0.8177179045854931
$60–100,6887,77.85525482793668,12.430941706622765,18.135246956678156,-3.7574835242783453
$100+,1668,116.53226019184652,21.095265813026362,36.80968844451178,-16.96862692210467
