experiment,accuracy,precision,recall,f1,roc_auc,fit_seconds,predict_seconds
dummy_prior,0.6765,0.0,0.0,0.0,0.5,0.20036216699999976,0.051275415999999296
logistic_unbalanced,0.77982,0.7440937440937441,0.4868006182380216,0.5885562656501102,0.8184623527086753,0.5125392919999996,0.051460000000000505
logistic_balanced,0.76876,0.6284314271395958,0.6977434312210201,0.6612761469502548,0.8190580088212011,0.5333666250000002,0.05284425000000148
