,passenger_count,trip_distance,trip_duration_minutes,total_amount
passenger_count,1.0,0.0052696568409113095,-0.01757192105440324,0.0034441904861610365
trip_distance,0.0052696568409113095,1.0,0.7312312391165777,0.7844892811377152
trip_duration_minutes,-0.01757192105440324,0.7312312391165777,1.0,0.6631632178831317
total_amount,0.0034441904861610365,0.7844892811377152,0.6631632178831317,1.0
